Date,Metal,Industry,State,Region,Price,Demand_Index,Supply_Index,Dependency,Impact_Score,Volatility,Primary_Metal,Demand_Category,Price_Trend
2023-04-25,Silver,Automobile,Chandigarh,North,92.19,87.2,130.27,0.46,42.09,0.0433,0,Low,Rising
2023-04-25,Copper,Energy,Delhi,North,1102.55,97.72,108.96,0.6,661.53,0.0206,0,Low,Rising
2023-04-25,Silver,Energy,Andhra Pradesh,South,97.44,39.78,129.45,0.25,24.16,0.027,0,Low,Rising
2023-04-25,Aluminum,Energy,Andhra Pradesh,South,225.21,55.39,69.52,0.3,66.61,0.0181,0,Low,Rising
2023-04-25,Lithium,Construction,Puducherry,South,6448.79,35.88,80.17,0.39,2500.85,0.0107,0,Low,Rising
2023-04-25,Silver,Electronics,Karnataka,South,95.06,109.6,112.77,0.75,71.3,0.0115,0,Medium,Rising
2023-04-25,Lithium,Electronics,Delhi,North,7693.67,41.64,114.66,0.42,3201.89,0.1496,0,Low,Rising
2023-04-25,Silver,Construction,Telangana,South,95.89,30.5,93.48,0.27,26.15,0.002,0,Low,Rising
2023-04-25,Copper,Electronics,Haryana,North,1096.23,59.06,113.11,0.9,986.61,0.0129,1,High,Rising
2023-04-25,Aluminum,Jewelry,Arunachal Pradesh,Northeast,231.18,37.9,88.16,0.3,69.08,0.0105,0,Low,Rising
2023-04-25,Gold,Construction,Goa,West,5669.35,26.04,79.34,0.31,1773.68,0.0983,0,Low,Rising
2023-04-25,Platinum,Energy,Tamil Nadu,South,5593.68,45.57,141.01,0.28,1545.84,0.0272,0,Low,Rising
2023-04-25,Steel,Automobile,Arunachal Pradesh,Northeast,125.21,86.11,61.59,0.8,100.17,0.0285,0,Medium,Rising
2023-04-25,Lithium,Construction,Arunachal Pradesh,Northeast,6528.34,80.57,97.3,0.45,2911.83,0.0252,0,Low,Rising
2023-04-25,Silver,Electronics,Kerala,South,99.92,42.53,56.23,0.75,74.94,0.0671,0,Medium,Rising
2023-04-25,Aluminum,Automobile,Madhya Pradesh,Central,220.95,78.86,94.61,0.7,154.66,0.0046,0,Medium,Rising
2023-04-25,Copper,Automobile,Tamil Nadu,South,1104.82,90.73,144.16,0.6,662.89,0.0103,0,Low,Rising
2023-04-25,Nickel,Electronics,Dadra and Nagar Haveli and Daman and Diu,West,2743.59,26.28,85.16,0.23,617.88,0.042,0,Low,Rising
2023-04-25,Gold,Automobile,Odisha,East,5852.91,50.82,141.83,0.36,2111.7,0.0265,0,Low,Rising
2023-04-25,Platinum,Electronics,Nagaland,Northeast,5646.95,25.65,77.5,0.47,2656.62,0.014,0,Low,Rising
2023-04-25,Lithium,Automobile,Jammu and Kashmir,North,6129.53,26.67,100.2,0.5,3047.21,0.0946,0,Low,Rising
2023-04-25,Aluminum,Construction,Chandigarh,North,222.2,83.14,105.11,0.85,188.87,0.0221,0,Medium,Rising
2023-04-25,Steel,Construction,Nagaland,Northeast,122.39,179.11,111.18,0.95,116.27,0.0553,1,High,Rising
2023-04-25,Platinum,Automobile,Puducherry,South,5069.4,14.58,144.01,0.23,1158.69,0.1001,0,Low,Rising
2023-04-25,Platinum,Automobile,Chandigarh,North,5319.88,56.34,51.77,0.48,2570.59,0.0266,0,Low,Rising
2023-04-25,Silver,Jewelry,Andaman and Nicobar Islands,South,98.3,132.7,145.61,0.9,88.47,0.0409,1,High,Rising
2023-04-25,Gold,Energy,Delhi,North,5974.14,70.07,53.51,0.36,2136.5,0.0495,0,Low,Rising
2023-04-25,Nickel,Construction,Gujarat,West,2658.47,51.2,92.68,0.4,1052.42,0.0142,0,Low,Rising
2023-04-25,Nickel,Construction,Rajasthan,North,2566.01,32.53,55.4,0.29,737.61,0.0918,0,Low,Rising
2023-04-25,Silver,Construction,Rajasthan,North,97.22,45.54,100.12,0.49,48.02,0.0388,0,Low,Rising
2023-04-25,Gold,Energy,Uttar Pradesh,North,6241.52,13.18,125.52,0.22,1376.69,0.0029,0,Low,Rising
2023-04-25,Gold,Jewelry,Jammu and Kashmir,North,6226.11,169.83,62.5,0.98,6101.59,0.0001,1,High,Rising
2023-04-25,Gold,Jewelry,Dadra and Nagar Haveli and Daman and Diu,West,6006.36,84.86,80.14,0.98,5886.23,0.0315,1,High,Rising
2023-04-25,Steel,Construction,Gujarat,West,121.08,53.07,90.33,0.95,115.03,0.0221,1,High,Rising
2023-04-25,Steel,Automobile,Arunachal Pradesh,Northeast,123.61,115.86,119.69,0.8,98.88,0.0437,0,Medium,Rising
2023-04-25,Copper,Construction,Tamil Nadu,South,1079.88,63.88,127.2,0.5,539.94,0.02,0,Low,Rising
2023-04-25,Gold,Construction,Mizoram,Northeast,6451.98,19.75,65.39,0.25,1582.03,0.008,0,Low,Rising
2023-04-25,Silver,Automobile,Manipur,Northeast,102.23,35.47,60.98,0.27,27.22,0.073,0,Low,Rising
2023-04-25,Lithium,Automobile,West Bengal,East,5932.75,21.04,117.1,0.27,1576.57,0.0798,0,Low,Rising
2023-04-25,Copper,Energy,Puducherry,South,1080.91,61.98,68.58,0.6,648.54,0.0187,0,Low,Rising
2023-04-25,Lithium,Construction,Gujarat,West,6495.75,44.05,56.18,0.28,1798.67,0.0461,0,Low,Rising
2023-04-25,Platinum,Automobile,Uttar Pradesh,North,5889.09,61.48,144.76,0.37,2161.57,0.1129,0,Low,Rising
2023-04-25,Aluminum,Jewelry,Odisha,East,214.09,63.42,68.51,0.34,72.02,0.019,0,Low,Rising
2023-04-25,Aluminum,Electronics,Andhra Pradesh,South,225.18,30.59,75.16,0.28,63.39,0.0182,0,Low,Rising
2023-04-25,Steel,Jewelry,Tripura,Northeast,123.7,38.0,73.11,0.23,27.9,0.0429,0,Low,Rising
2023-04-25,Gold,Jewelry,Chhattisgarh,Central,5893.9,139.22,143.25,0.98,5776.02,0.0302,1,High,Rising
2023-04-25,Gold,Jewelry,Andaman and Nicobar Islands,South,6218.23,130.96,104.63,0.98,6093.87,0.0135,1,High,Rising
2023-04-26,Nickel,Jewelry,Delhi,North,2757.07,69.41,61.4,0.39,1079.63,0.0355,0,Low,Rising
2023-04-26,Nickel,Jewelry,Maharashtra,West,2575.18,39.5,69.33,0.34,880.25,0.0667,0,Low,Rising
2023-04-26,Platinum,Jewelry,Gujarat,West,5081.86,156.01,129.0,0.85,4319.58,0.0706,0,Medium,Rising
2023-04-26,Gold,Jewelry,Bihar,East,5827.05,103.31,145.17,0.98,5710.51,0.0298,1,High,Rising
2023-04-26,Lithium,Energy,Tamil Nadu,South,6308.06,100.11,83.16,0.95,5992.65,0.0536,1,High,Rising
2023-04-26,Lithium,Electronics,Uttarakhand,North,6364.25,47.06,149.18,0.25,1576.28,0.0152,0,Low,Rising
2023-04-26,Aluminum,Construction,Mizoram,Northeast,226.27,97.0,76.72,0.85,192.33,0.032,0,Medium,Rising
2023-04-26,Steel,Jewelry,Himachal Pradesh,North,117.63,43.87,65.48,0.41,47.85,0.0658,0,Low,Rising
2023-04-26,Copper,Construction,Tamil Nadu,South,1473.72,47.99,140.03,0.5,736.86,0.045,0,Low,Rising
2023-04-26,Nickel,Construction,Jharkhand,East,2446.07,65.22,57.83,0.43,1043.62,0.1025,0,Low,Rising
